period,OECD_long_term_interest_rates
2000-08,5.361
2000-09,5.414
2000-10,5.348
2000-11,5.296
2000-12,5.028
2001-01,4.93
2001-02,4.916
2001-03,4.826
2001-04,5.022
2001-05,5.221
2001-06,5.17
2001-07,5.172
2001-08,4.979
2001-09,4.979
2001-10,4.765
2001-11,4.62
2001-12,4.89
2002-01,4.969
2002-02,5.025
2002-03,5.272
2002-04,5.253
2002-05,5.303
2002-06,5.162
2002-07,4.993
2002-08,4.711
2002-09,4.497
2002-10,4.58
2002-11,4.555
2002-12,4.363
2003-01,4.189
2003-02,3.971
2003-03,4.013
2003-04,4.232
2003-05,3.913
2003-06,3.722
2003-07,4.036
2003-08,4.185
2003-09,4.212
2003-10,4.27
2003-11,4.409
2003-12,4.326
2004-01,4.181
2004-02,4.122
2004-03,3.934
2004-04,4.127
2004-05,4.371
2004-06,4.422
2004-07,4.306
2004-08,4.146
2004-09,4.09
2004-10,3.964
2004-11,3.845
2004-12,3.632
2005-01,3.558
2005-02,3.547
2005-03,3.689
2005-04,3.477
2005-05,3.304
2005-06,3.134
2005-07,3.269
2005-08,3.284
2005-09,3.116
2005-10,3.279
2005-11,3.478
2005-12,3.353
2006-01,3.327
2006-02,3.476
2006-03,3.656
2006-04,3.921
2006-05,3.964
2006-06,3.973
2006-07,3.989
2006-08,3.903
2006-09,3.778
2006-10,3.82
2006-11,3.749
2006-12,3.813
2007-01,4.052
2007-02,4.074
2007-03,3.978
2007-04,4.194
2007-05,4.324
2007-06,4.614
2007-07,4.573
2007-08,4.383
2007-09,4.343
2007-10,4.376
2007-11,4.209
2007-12,4.338
2008-01,4.128
2008-02,4.046
2008-03,3.974
2008-04,4.21
2008-05,4.353
2008-06,4.734
2008-07,4.687
2008-08,4.398
2008-09,4.353
2008-10,4.228
2008-11,3.963
2008-12,3.647
2009-01,3.763
2009-02,3.797
2009-03,3.658
2009-04,3.771
2009-05,3.853
2009-06,3.956
2009-07,3.764
2009-08,3.609
2009-09,3.58
2009-10,3.533
2009-11,3.52
2009-12,3.438
2010-01,3.467
2010-02,3.356
2010-03,3.368
2010-04,3.321
2010-05,3.018
2010-06,2.899
2010-07,2.853
2010-08,2.558
2010-09,2.524
2010-10,2.577
2010-11,2.785
2010-12,3.155
2011-01,3.228
2011-02,3.408
2011-03,3.423
2011-04,3.647
2011-05,3.403
2011-06,3.284
2011-07,3.172
2011-08,2.678
2011-09,2.336
2011-10,2.464
2011-11,2.446
2011-12,2.376
2012-01,2.197
2012-02,2.236
2012-03,2.249
2012-04,2.293
2012-05,1.974
2012-06,1.926
2012-07,1.747
2012-08,1.757
2012-09,1.844
2012-10,1.767
2012-11,1.65
2012-12,1.562
2013-01,1.727
2013-02,1.827
2013-03,1.665
2013-04,1.661
2013-05,1.686
2013-06,2
2013-07,2.032
2013-08,2.196
2013-09,2.322
2013-10,2.177
2013-11,2.056
2013-12,2.158
2014-01,2.098
2014-02,1.891
2014-03,1.81
2014-04,1.846
2014-05,1.709
2014-06,1.598
2014-07,1.407
2014-08,1.2
2014-09,1.154
2014-10,1.032
2014-11,0.934
2014-12,0.777
2015-01,0.52
2015-02,0.416
2015-03,0.326
2015-04,0.314
2015-05,0.754
2015-06,1.054
2015-07,0.986
2015-08,0.853
2015-09,0.866
2015-10,0.725
2015-11,0.716
2015-12,0.754
2016-01,0.646
2016-02,0.371
2016-03,0.32
2016-04,0.395
2016-05,0.384
2016-06,0.25
2016-07,0.062
2016-08,0.027
2016-09,0.061
2016-10,0.156
2016-11,0.385
2016-12,0.436
2017-01,0.481
2017-02,0.486
2017-03,0.485
2017-04,0.498
2017-05,0.589
2017-06,0.503
2017-07,0.688
2017-08,0.542
2017-09,0.532
2017-10,0.541
2017-11,0.468
2017-12,0.452
2018-01,0.61
2018-02,0.76
2018-03,0.63
2018-04,0.69
2018-05,0.67
2018-06,0.57
2018-07,0.47
2018-08,0.47
2018-09,0.55
2018-10,0.58
2018-11,0.52
2018-12,0.4
2019-01,0.33
2019-02,0.24
2019-03,0.15
2019-04,0.2
2019-05,0.11
2019-06,-0.09
2019-07,-0.21
2019-08,-0.5
2019-09,-0.43
2019-10,-0.31
2019-11,-0.19
2019-12,-0.14
2020-01,-0.17
2020-02,-0.34
2020-03,-0.33
2020-04,-0.22
2020-05,-0.31
2020-06,-0.29
2020-07,-0.39
2020-08,-0.41
2020-09,-0.44
2020-10,-0.53
2020-11,-0.54
2020-12,-0.55
2021-01,-0.53
2021-02,-0.39
2021-03,-0.33
2021-04,-0.3
2021-05,-0.19
2021-06,-0.24
2021-07,-0.38
2021-08,-0.48
2021-09,-0.34
